~weapon
id,bonus
IDS_ARSN_Navy_Model,81
IDS_ARSN_Army_Model,86
IDS_ARSN_Civilian_Models,88
IDS_ARSN_Model_1816_Flintlock_USA,89
IDS_ARSN_Model_1816_Percussion_USA,89
IDS_ARSN_1839_Pattern_Bavaria,90
IDS_ARSN_1809_Potsdam_Pattern_Prussia,92
IDS_ARSN_Model_1795_Flintlock_USA,92
IDS_ARSN_Dresden_Pattern,93
IDS_ARSN_Liege_Pattern_France,93
IDS_ARSN_1843_Pattern_Belgium,95
IDS_ARSN_Model_1822_USA,98
IDS_ARSN_Model_1842_USA,99
IDS_ARSN_1834_Pattern_Prussia,99
IDS_ARSN_Model_1842_Rifle_USA,101
IDS_ARSN_Model_1842_Palmetto_USA,102
IDS_ARSN_Mixed_Calibers_54_58,105
IDS_ARSN_Mixed_Types_Musket_Rifle,106
IDS_ARSN_Model_1841_Percussion_USA,108
IDS_ARSN_1853_Pattern_Enfield_Britain,108
IDS_ARSN_Mixed_Calibers_577_69,109
IDS_ARSN_Starr_USA,109
IDS_ARSN_Tyler_Texas_Pattern,109
IDS_ARSN_HEDimick_Pattern,111
IDS_ARSN_Model_1855_Harpers_Ferry_USA,111
IDS_ARSN_1858_Pattern_Enfield_Britain,111
IDS_ARSN_Richmond_Percussion_CSA,112
IDS_ARSN_Mixed_Calibers_54_577,112
IDS_ARSN_Cook_&_Brother_CSA,112
IDS_ARSN_Model_1841_Mississippi_USA,114
IDS_ARSN_Mixed_Calibers_577_58,114
IDS_ARSN_Fayetteville_Pattern,115
IDS_ARSN_Model_1861_Springfield_USA,115
IDS_ARSN_Spencer_Repeating_USA,115
IDS_ARSN_1854_Lorenz_Austria,115
IDS_ARSN_Maynard_USA,116
IDS_ARSN_Richmond_CSA,116
IDS_ARSN_Model_1803_Flintlock_USA,118
IDS_ARSN_Henry_Repeating_USA,118
IDS_ARSN_Model_1863_Type_II_Springfield_USA,120
IDS_ARSN_Colt_Repeating_USA,121
IDS_ARSN_Austrian_Jaeger_USA,122
IDS_ARSN_Mixed_Calibers_58_69,122
IDS_ARSN_JPMurray_CSA,124
IDS_ARSN_Model_1861s_Springfield_USA,124
IDS_ARSN_Smith_USA,124
IDS_ARSN_Model_1863_Type_I_Springfield_USA,124
IDS_ARSN_Enfield_Percussion_Britain,125
IDS_ARSN_Hall_USA,128
IDS_ARSN_Model_1859_Sharps_USA,130
IDS_ARSN_Burnside_USA,130
IDS_ARSN_Spencer_USA,135
IDS_ARSN_Gallager_USA,138
IDS_ARSN_Merrill_USA,141
IDS_ARSN_Model_1859_Sharps_Rifle_USA,213
IDS_ARSN_10lb_Parrott_CSA,130
IDS_ARSN_10lb_Parrott_USA,132
IDS_ARSN_12lb_Armstrong,100
IDS_ARSN_12lb_Blakely,140
IDS_ARSN_12lb_Clay,100
IDS_ARSN_12lb_Howitzer_CSA,106
IDS_ARSN_12lb_Howitzer_USA,108
IDS_ARSN_12lb_James,90
IDS_ARSN_12lb_Napoleon_CSA,97
IDS_ARSN_12lb_Napoleon_USA,100
IDS_ARSN_12lb_Whitworth,140
IDS_ARSN_14lb_James,100
IDS_ARSN_20lb_Parrott_CSA,140
IDS_ARSN_20lb_Parrott_USA,140
IDS_ARSN_24lb_Howitzer_CSA,140
IDS_ARSN_24lb_Howitzer_USA,140
IDS_ARSN_3.5in_James,110
IDS_ARSN_3in_Ordnance_CSA,128
IDS_ARSN_3in_Ordnance_USA,130
IDS_ARSN_3in_Rodman_CSA,130
IDS_ARSN_3in_Rodman_USA,130
IDS_ARSN_6lb_M1841_CSA,80
IDS_ARSN_6lb_M1841_Rifle_CSA,80
IDS_ARSN_6lb_M1841_Rifle_USA,80
IDS_ARSN_6lb_M1841_USA,80
