Name,ID,Type ID,Min,Best,Normal,Long,Maximum,Reliability,ROF,MROF,Can Pct,Shell Pct,Shrap Pct,Solid Pct,ArtyTableID,Can ID,Shell ID,Shrap ID,Solid ID,,,,,,,,,
,idstring,idstring,[1/10000],[1/10000],[1/10000],[1/10000],[1/10000],[0.0/100.0],[1/10000],[1/10000],[0/100],[0/100],[0/100],[0/100],idstring,idstring,idstring,idstring,idstring,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,User defined name, not used by the program, cannot be blank,,,,,,,,,,,,,,,,,,,,,,,,
,ID,id of this cannon, used by reference in other csv files such as oobs, also used to identify from the string tables, the textual name of this cannon,,,,,,,,,,,,,,,,,,,,,,,
,Type ID,A second string id for this cannon, this will allow an additional line of description for the piece of artillery,,,,,,,,,,,,,,,,,,,,,,,,,
,Min,The closest range where this cannon would be used in yards,,,,,,,,,,,,,,,,,,,,,,,,,,
,Best,The most accurate range of this cannon in yards,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normal,The typical range where this cannnon was fired in yards,,,,,,,,,,,,,,,,,,,,,,,,,,
,Long,A very long range for using this cannon in yards,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maximum,The farthest away that this cannon has any chance of hitting a target in yards,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reliability,The base percent chance that this cannon has of successfully being loaded and fired, this can be modified by other factors, so this should be the lowest chance of success for a rookie crew,,,,,,,,,,,,,,,,,,,,,,,,
,ROF,The rate of fire for this weapon, this is the number of seconds it takes between each shot to reload the cannon,,,,,,,,,,,,,,,,,,,,,,,,,
,MROF,The best rate of fire for this weapon, this is the number of seconds it takes between each shot to reload the cannon,,,,,,,,,,,,,,,,,,,,,,,,,
,Can Pct,The ammo distribution to cannister, so if this unit were given 100 rounds of ammo, this is the number of those that would be cannister, the four of these pct values must add up to exactly 100, you can leave them blank to erase that ammo type,,,,,,,,,,,,,,,,,,,,,,
,Shell Pct,The ammo distribution to shell, so if this unit were given 100 rounds of ammo, this is the number of those that would be shell, the four of these pct values must add up to exactly 100, you can leave them blank to erase that ammo type,,,,,,,,,,,,,,,,,,,,,,
,Shrap Pct,The ammo distribution to shrapnel, so if this unit were given 100 rounds of ammo, this is the number of those that would be shrapnel, the four of these pct values must add up to exactly 100, you can leave them blank to erase that ammo type,,,,,,,,,,,,,,,,,,,,,,
,Solid Pct,The ammo distribution to solid shot, so if this unit were given 100 rounds of ammo, this is the number of those that would be solid shot, the four of these pct values must add up to exactly 100, you can leave them blank to erase that ammo type,,,,,,,,,,,,,,,,,,,,,,
