Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Class,"this is the ID of the class, is used in the OOB and scenario.csv files",,,,,,,,,,,,,,,,,,,,,,,,
,Type,"this determines the type of a unit,1 = Infantry,2 = Cavalry,3 = Artillery,4 = Ordnance,5 = Courier",,,,,,,,,,,,,,,,,,,,,,,,
,Alt Class,this is the class that is used when artillery and cavalry units switch their states,,,,,,,,,,,,,,,,,,,,,,,,
,Captured Class,this is the class that is used when an artillery unit is captured,,,,,,,,,,,,,,,,,,,,,,,,
,Walk Speed,this is the number of miles per hour the unit can walk,,,,,,,,,,,,,,,,,,,,,,,,
,Run Speed,this is the number of miles per hour the unit can run,,,,,,,,,,,,,,,,,,,,,,,,
,Uniform 1-6,this are the sprite set names from unitmodel.csv,,,,,,,,,,,,,,,,,,,,,,,,
,Walk Sound,this is a looping sound from sfx.csv which is played while this unit is marching,,,,,,,,,,,,,,,,,,,,,,,,
,Stand Sound,this is a looping sound from sfx.csv which is played while this unit is standing,,,,,,,,,,,,,,,,,,,,,,,,
,Load Sound,this is a looping sound from sfx.csv which is played while this unit is loading,,,,,,,,,,,,,,,,,,,,,,,,
,Ram Sound,this is a looping sound from sfx.csv which is played while this unit is raming,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Sound,this is a looping sound from sfx.csv which is played while this unit is firing,,,,,,,,,,,,,,,,,,,,,,,,
,Run Sound,this is a looping sound from sfx.csv which is played while this unit is running,,,,,,,,,,,,,,,,,,,,,,,,
,Charge Sound,this is a looping sound from sfx.csv which is played while this unit is charging,,,,,,,,,,,,,,,,,,,,,,,,
,Melee Sound,this is a looping sound from sfx.csv which is played while this unit is meleeing,,,,,,,,,,,,,,,,,,,,,,,,
,Prone Sound,this is a looping sound from sfx.csv which is played while this unit is prone,,,,,,,,,,,,,,,,,,,,,,,,
,Flag Bearer Sprite,this is the sprite set for the flag bearer from unitmodel.csv,,,,,,,,,,,,,,,,,,,,,,,,
,GUI,"this is the toolbar name from gui.csv, is shown when this unit is under your control",,,,,,,,,,,,,,,,,,,,,,,,
,Friendly GUI,"this is the toolbar name from gui.csv, is shown when this unit is on your side but not under your control",,,,,,,,,,,,,,,,,,,,,,,,
,Enemy GUI,"this is the toolbar name from gui.csv, is shown when this unit is not on your side",,,,,,,,,,,,,,,,,,,,,,,,
,Fighting Formation,this is the formation name from drills.csv that is used by the AI as the default formation to use when fighting,,,,,,,,,,,,,,,,,,,,,,,,
,Walk Formation,this is the formation name from drills.csv that is used by the AI as the default formation to use when walking,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,
,Time compression used - 1 second of game time equals 2 seconds of real time,,,,,,,,,,,,,,,,,,,,,,,,,
,Walk speeds are 2.5 mph for infantry limbered artillery and ordance 3.5 for cavalry and couriers,,,,,,,,,,,,,,,,,,,,,,,,,
,Walk and run speed for unlimbered artillery is 1/4 infantry walk speed,,,,,,,,,,,,,,,,,,,,,,,,,
,Run speed for all types except unlimbered artillery equals the types walk speed x2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMMON ,,,,,,,,,,,,,,,,,,,,,,,,,
UGLB_USA_Inf_Cdr_Army,1,,,5,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL1_Inf,GUI_US_LVL1_Friendly,GUI_US_LVL1_Enemy,DRIL_Lvl4_Inf_Line_Renamed,DRIL_Lvl4_Inf_Reserves
UGLB_USA_Inf_Cdr_Wing,1,,,5,15,USPR_USA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL2_Inf,GUI_US_LVL2_Friendly,GUI_US_LVL2_Enemy,DRIL_Lvl4_Inf_Line_Renamed,DRIL_Lvl4_Inf_Reserves
UGLB_USA_Inf_Cdr_Corps,1,,,5,15,USPR_USA_Cdr_01,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL3_Inf,GUI_US_LVL3_Friendly,GUI_US_LVL3_Enemy,DRIL_Lvl4_Inf_Line_Renamed,DRIL_Lvl4_Inf_Reserves
UGLB_USA_Inf_Cdr_Div,1,,,5,15,USPR_USA_Cdr_02,,,,,,SFX_Cdr_Walk_1,SFX_Cdr_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Cdr_Fire_1,SFX_Cdr_Run_1,SFX_Cdr_Charge_1,SFX_Cdr_Melee_1,SFX_Cdr_Prone_1,USPR_USA_Cav_01,GUI_US_LVL4_Inf,GUI_US_LVL4_Friendly,GUI_US_LVL4_Enemy,DRIL_Lvl4_Inf_Line_Renamed,DRIL_Lvl4_Inf_Reserves
