Name,Low Res,Walk,Stand,Load,Ready,Fire,Run,Charge,Melee,Prone,Death,Death_2

,Name,"user defined name, used in other csv files to reference this sprite",,,,,,,,,,
,Low Res,"this is the name of the alternate sprite, is used when the Uniform Quality option is set to Low/High on the Options screen",,,,,,,,,,
,Walk,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is marching,,,,,,,,,,
,Stand,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is standing,,,,,,,,,,
,Load,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is reloading,,,,,,,,,,
,Ready,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is ready to shoot,,,,,,,,,,
,Fire,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is firing,,,,,,,,,,
,Run,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is running,,,,,,,,,,
,Charge,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is charging,,,,,,,,,,
,Melee,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is meleeing,,,,,,,,,,
,Prone,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is prone,,,,,,,,,,
,Death,this is the name of the sprite from the gfx.csv file that will be used while this sprite type is dead,,,,,,,,,,
,Death_2,this is the name of a second sprite from the gfx.csv file that will be used while this sprite type is dead,,,,,,,,,,

USPR_CSA_Art_01_Gun,USPR_CSA_Art_01_Gun,GFX_CSA_Art_01-1_Walk_Gun,GFX_CSA_Art_01-2_Stand_Gun,GFX_CSA_Art_01-3_Load_Gun,GFX_CSA_Art_01-3_Ready_Gun,GFX_CSA_Art_01-3_Fire_Gun,GFX_CSA_Art_01-1_Walk_Gun,GFX_CSA_Art_01-1_Walk_Gun,GFX_CSA_Art_01-1_Walk_Gun,,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Art_01-4_Death_Gun
USPR_CSA_Art_02_Gun,USPR_CSA_Art_01_Gun,GFX_CSA_Art_02-1_Walk_Gun,GFX_CSA_Art_02-2_Stand_Gun,GFX_CSA_Art_02-3_Load_Gun,GFX_CSA_Art_02-3_Ready_Gun,GFX_CSA_Art_02-3_Fire_Gun,GFX_CSA_Art_02-1_Walk_Gun,GFX_CSA_Art_02-1_Walk_Gun,GFX_CSA_Art_02-1_Walk_Gun,,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Art_02-4_Death_Gun
USPR_CSA_Art_01_Gun-Limbered,USPR_CSA_Art_01_Gun-Limbered,GFX_CSA_Art_01-1_Walk_Gun-Limbered,GFX_CSA_Art_01-2_Stand_Gun-Limbered,GFX_CSA_Art_01-2_Stand_Gun-Limbered,GFX_CSA_Art_01-2_Stand_Gun-Limbered,GFX_CSA_Art_01-2_Stand_Gun-Limbered,GFX_CSA_Art_01-1_Walk_Gun-Limbered,GFX_CSA_Art_01-1_Walk_Gun-Limbered,GFX_CSA_Art_01-1_Walk_Gun-Limbered,,GFX_CSA_Inf_01-8_Death_1,GFX_CSA_Art_01-4_Death_Gun
