UI Name,Graphic Name,loc x (across),loc y (down),Sticky (0/1/2),Button Sound,Unit Sound,Normal (across),Normal (down),Highlighted (across),Highlighted (down),gray (across),gray (down),Active (across),Active (down),mod left,mod top,mod right,mod bottom,func,func2,text,Special,Show Condition,Highlight Condition,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UI Name,"this is the name of the toolbar, is used in guitext.csv and unitglobal.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graphic Name,"this is either the name of the graphic from the gfx.csv file, the word INHERIT or the word GROUP",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,loc x,"x value of where to draw the graphic, based on a 1024x768 screen, it is based on the screen top being 0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,loc y,"y value of where to draw the graphic, based on a 1024x768 screen, it is based on the screen top being 0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sticky,"used to convert to different resolutions (0-bottom center, 1 - top left, 2 - top right)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Button Sound,this contains the name of a sound from the sfx.csv file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normal (across),"this specifies the index normal state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normal (down),"this specifies the index normal state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highlighted (across),"this specifies the index highlighted state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highlighted (down),"this specifies the index highlighted state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is used when the button met the highlight condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gray (across),"this specifies the index grayed out state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gray (down),"this specifies the index grayed out state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active (across),"this specifies the index active state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active (down),"this specifies the index active state of the graphic, it is the 0 based index of the referenced graphic",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,is used when the cursor is over the button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mod left,this is for specifying a hit area on the left side of a button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mod top,this is for specifying a hit area to the top of a button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mod right,this is for specifying a hit area on the right side of a button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mod bottom,this is for specifying a hit area to the bottom of a button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,func,this is the function for the button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,func2,this is a second function for the button,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,text,this is the tooltip text of a button or graphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Special,is only used for progress bars and portrait graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Show Condition,this will determine whether or not to draw this graphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highlight Condition,this will determine whether or not to show the button in the highlighted state,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,use INHERIT and the name of another toolbar to inherit the same information from it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,use GROUP to assign specific buttons to a group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Inf,GFX_MS_Background,343,652,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI_LVL6_Inf,GFX_MS_Buttons,521,654,,SFX_UI_Click,,-1,-1,0,0,-1,-1,0,0,0,0,0,0,loadscreen:InGameMenu,,Menu,,,,,,,,,
