~specials
number,state,type
1,c_tn,zo,
6,c_tn,zo,
154,c_tn,zo,
44,c_va,zo,
5,c_la,zo,
7,c_la,zo,
9,c_la,zo,
10,c_la,zo,
13,c_la,zo,
15,c_la,zo,
7,u_il,zo,
11,u_il,zo,
19,u_il,zo,
37,u_il,zo,
59,u_il,zo,
60,u_il,zo,
77,u_il,zo,
118,u_il,zo,
11,u_in,zoa,
12,u_in,zo,
18,u_in,zo,
24,u_in,zo,
43,u_in,zo,
47,u_in,zo,
67,u_in,zo,
100,u_in,zo,
1,u_me,zo,
28,u_ia,zo,
1,u_ia,zo,
2,u_ky,zo,
2,u_la,zo,
13,u_la,zo,
4,u_mi,zo,
6,u_mi,zo,
8,u_mi,zo,
13,c_ms,zo,
8,c_mo,zo,
9,c_mo,zo,
31,c_mo,zo,
33,u_nj,zo,
35,u_nj,zo,
20,u_nj,zo,
10,u_nj,zo,
14,u_nj,zo,
4,u_vt,zo,
1,u_de,zo,

2,u_ny,zo,
3,u_ny,zo,
5,u_ny,zo,
6,u_ny,zo,
7,u_ny,zo,
9,u_ny,zo,
10,u_ny,zoa,
11,u_ny,zoa,
18,u_ny,zo,
41,u_ny,zo,
42,u_ny,zo,
44,u_ny,zoa,
53,u_ny,zo,
57,u_ny,zo,
62,u_ny,zo,
66,u_ny,zo,
73,u_ny,zo,
84,u_ny,zo,
125,u_ny,zo,
140,u_ny,zoa,
146,u_ny,zoa,
164,u_ny,zo,
165,u_ny,zoa,
177,u_ny,zoa,
178,u_ny,zo,

4,u_oh,zo,
7,u_oh,zo,
34,u_oh,zo,
53,u_oh,zo,
54,u_oh,zo,
76,u_oh,zo,


3,u_pa,zo,
5,u_pa,zo,
7,u_pa,zo,
12,u_pa,zo,
23,u_pa,zo,
28,u_pa,zo,
32,u_pa,zo,
47,u_pa,zo,
50,u_pa,zo,
54,u_pa,zo,
57,u_pa,zo,
61,u_pa,zo,
62,u_pa,zo,
63,u_pa,zo,
72,u_pa,zo,
74,u_pa,zo,
76,u_pa,zoa,
85,u_pa,zo,
87,u_pa,zo,
88,u_pa,zo,
93,u_pa,zo,
95,u_pa,zo,
99,u_pa,zo,
102,u_pa,zo,
114,u_pa,zo,
122,u_pa,zo,
127,u_pa,zo,
155,u_pa,zoa,

1,u_wi,zo,
5,u_wi,zo,
8,u_wi,zo,
11,u_wi,zo,
13,u_wi,zo,
23,u_wi,zo,

10,u_ri,zo,

8,u_ma,zo,
19,u_ma,zo,
23,u_ma,zo,
27,u_ma,zo,
30,u_ma,zo,
43,u_ma,zo,
1,u_sc,zo,

155,u_ny,er,
37,u_ny,er,
23,u_il,er,
9,u_ma,er,
4,u_me,er,
9,u_me,er,
26,u_me,er,
9,u_ct,er,
17,u_wi,er,

28,u_ma,er,
63,u_ny,er,
69,u_ny,er,
69,u_pa,er,
88,u_ny,er,
116,u_pa,er,

8,c_al,er,
10,c_tn,er,

2,u_wi,ir,
6,u_wi,ir,
7,u_wi,ir,
19,u_in,ir,
24,u_mi,ir,
20,u_me,20me
1,u_mn,1mn
